"","Province","Country","Lat","Long","date","Recovered"
"1","Adams, IN","US",39.8522,-77.2865,2020-01-22,0
"2","Adams, IN","US",39.8522,-77.2865,2020-01-23,0
"3","Adams, IN","US",39.8522,-77.2865,2020-01-24,0
"4","Adams, IN","US",39.8522,-77.2865,2020-01-25,0
"5","Adams, IN","US",39.8522,-77.2865,2020-01-26,0
"6","Adams, IN","US",39.8522,-77.2865,2020-01-27,0
"7","Adams, IN","US",39.8522,-77.2865,2020-01-28,0
"8","Adams, IN","US",39.8522,-77.2865,2020-01-29,0
"9","Adams, IN","US",39.8522,-77.2865,2020-01-30,0
"10","Adams, IN","US",39.8522,-77.2865,2020-01-31,0
"11","Adams, IN","US",39.8522,-77.2865,2020-02-01,0
"12","Adams, IN","US",39.8522,-77.2865,2020-02-10,0
"13","Adams, IN","US",39.8522,-77.2865,2020-02-11,0
"14","Adams, IN","US",39.8522,-77.2865,2020-02-12,0
"15","Adams, IN","US",39.8522,-77.2865,2020-02-13,0
"16","Adams, IN","US",39.8522,-77.2865,2020-02-14,0
"17","Adams, IN","US",39.8522,-77.2865,2020-02-15,0
"18","Adams, IN","US",39.8522,-77.2865,2020-02-16,0
"19","Adams, IN","US",39.8522,-77.2865,2020-02-17,0
"20","Adams, IN","US",39.8522,-77.2865,2020-02-18,0
"21","Adams, IN","US",39.8522,-77.2865,2020-02-19,0
"22","Adams, IN","US",39.8522,-77.2865,2020-02-02,0
"23","Adams, IN","US",39.8522,-77.2865,2020-02-20,0
"24","Adams, IN","US",39.8522,-77.2865,2020-02-21,0
"25","Adams, IN","US",39.8522,-77.2865,2020-02-22,0
"26","Adams, IN","US",39.8522,-77.2865,2020-02-23,0
"27","Adams, IN","US",39.8522,-77.2865,2020-02-24,0
"28","Adams, IN","US",39.8522,-77.2865,2020-02-25,0
"29","Adams, IN","US",39.8522,-77.2865,2020-02-26,0
"30","Adams, IN","US",39.8522,-77.2865,2020-02-27,0
"31","Adams, IN","US",39.8522,-77.2865,2020-02-28,0
"32","Adams, IN","US",39.8522,-77.2865,2020-02-29,0
"33","Adams, IN","US",39.8522,-77.2865,2020-02-03,0
"34","Adams, IN","US",39.8522,-77.2865,2020-02-04,0
"35","Adams, IN","US",39.8522,-77.2865,2020-02-05,0
"36","Adams, IN","US",39.8522,-77.2865,2020-02-06,0
"37","Adams, IN","US",39.8522,-77.2865,2020-02-07,0
"38","Adams, IN","US",39.8522,-77.2865,2020-02-08,0
"39","Adams, IN","US",39.8522,-77.2865,2020-02-09,0
"40","Adams, IN","US",39.8522,-77.2865,2020-03-01,0
"41","Adams, IN","US",39.8522,-77.2865,2020-03-10,0
"42","Adams, IN","US",39.8522,-77.2865,2020-03-11,0
"43","Adams, IN","US",39.8522,-77.2865,2020-03-12,0
"44","Adams, IN","US",39.8522,-77.2865,2020-03-13,0
"45","Adams, IN","US",39.8522,-77.2865,2020-03-14,0
"46","Adams, IN","US",39.8522,-77.2865,2020-03-15,0
"47","Adams, IN","US",39.8522,-77.2865,2020-03-16,0
"48","Adams, IN","US",39.8522,-77.2865,2020-03-17,0
"49","Adams, IN","US",39.8522,-77.2865,2020-03-18,0
"50","Adams, IN","US",39.8522,-77.2865,2020-03-19,0
"51","Adams, IN","US",39.8522,-77.2865,2020-03-02,0
"52","Adams, IN","US",39.8522,-77.2865,2020-03-20,0
"53","Adams, IN","US",39.8522,-77.2865,2020-03-21,0
"54","Adams, IN","US",39.8522,-77.2865,2020-03-22,0
"55","Adams, IN","US",39.8522,-77.2865,2020-03-23,0
"56","Adams, IN","US",39.8522,-77.2865,2020-03-03,0
"57","Adams, IN","US",39.8522,-77.2865,2020-03-04,0
"58","Adams, IN","US",39.8522,-77.2865,2020-03-05,0
"59","Adams, IN","US",39.8522,-77.2865,2020-03-06,0
"60","Adams, IN","US",39.8522,-77.2865,2020-03-07,0
"61","Adams, IN","US",39.8522,-77.2865,2020-03-08,0
"62","Adams, IN","US",39.8522,-77.2865,2020-03-09,0
