"","address","lat","long","addresstype"
"1","Malaysia",4.5693754,102.2656823,"country"
"2","Maldives",3.7203503,73.2244152,"country"
"3","Malta",35.8885993,14.4476911,"country"
"4","Mauritania",20.2540382,-9.2399263,"country"
"5","Mauritius",-20.2759451,57.5703566,"country"
"6","Mexico",23.6585116,-102.0077097,"country"
"7","Moldova",47.2879608,28.5670941,"country"
"8","Monaco",43.7323492,7.4276832,"country"
"9","Mongolia",46.8250388,103.8499736,"country"
"10","Morocco",31.1728205,-7.3362482,"country"
"11","Mozambique",-19.302233,34.9144977,"country"
"12","Namibia",-23.2335499,17.3231107,"country"
"13","Nepal",28.3780464,83.9999901,"country"
"14","Netherlands",52.2434979,5.6343227,"country"
"15","Netherlands",52.24764975,5.54124684940616,"country"
"16","New Zealand",-41.5000831,172.8344077,"country"
"17","Nicaragua",12.6090157,-85.2936911,"country"
"18","Niger",17.7356214,9.3238432,"country"
"19","Nigeria",9.6000359,7.9999721,"country"
"20","North Macedonia",41.6171214,21.7168387,"country"
"21","Norway",61.1529386,8.7876653,"country"
"22","Oman",21.0000287,57.0036901,"country"
"23","Pakistan",30.3308401,71.247499,"country"
"24","Panama",8.559559,-81.1308434,"country"
"25","Papua New Guinea",-5.6816069,144.2489081,"country"
"26","Paraguay",-23.3165935,-58.1693445,"country"
"27","Peru",-6.8699697,-75.0458515,"country"
"28","Philippines",12.7503486,122.7312101,"country"
"29","Poland",52.215933,19.134422,"country"
"30","Portugal",39.6621648,-8.1353519,"country"
