"","country","date","confirmed","recovered","deaths","population","conf_7Days_moving_avg","rec_7Days_moving_avg","deaths_7Days_moving_avg","conf_x10,000pop_rate","rec_x10,000pop_rate","deaths_x10,000pop_rate"
"1","China",2020-03-23,81439,72814,3274,1407745000,NA,NA,NA,NA,NA,NA
"2","China",2020-03-22,81397,72362,3265,1407745000,NA,NA,NA,NA,NA,NA
"3","China",2020-03-21,81305,71857,3259,1407745000,NA,NA,NA,NA,NA,NA
"4","China",2020-03-20,81250,71266,3253,1407745000,81244,71055,3253,1,1,1
"5","China",2020-03-19,81156,70535,3249,1407745000,81186,70355,3245,1,1,1
"6","China",2020-03-18,81102,69755,3241,1407745000,81130,69591,3236,1,1,1
"7","China",2020-03-17,81058,68798,3230,1407745000,81083,68706,3227,1,1,1
"8","China",2020-03-16,81033,67910,3217,1407745000,81039,67696,3216,1,1,1
"9","China",2020-03-15,81003,67017,3203,1407745000,81007,66605,3205,1,1,1
"10","China",2020-03-14,80977,65660,3193,1407745000,80981,65447,3194,1,1,1
"11","China",2020-03-13,80945,64196,3180,1407745000,80957,64216,3181,1,1,1
"12","China",2020-03-12,80932,62901,3172,1407745000,80932,62915,3167,1,1,1
"13","China",2020-03-11,80921,61644,3161,1407745000,80906,61539,3153,1,1,1
"14","China",2020-03-10,80887,60181,3139,1407745000,80877,60093,3135,1,1,1
"15","China",2020-03-09,80860,58804,3123,1407745000,80840,58629,3116,1,1,1
"16","China",2020-03-08,80823,57388,3100,1407745000,80784,57113,3093,1,1,1
"17","China",2020-03-07,80770,55539,3072,1407745000,80708,55450,3068,1,1,1
"18","China",2020-03-06,80690,53944,3044,1407745000,80618,53631,3041,1,1,1
"19","China",2020-03-05,80537,52292,3015,1407745000,80515,51638,3011,1,1,1
"20","China",2020-03-04,80386,50001,2983,1407745000,80387,49463,2978,1,1,1
"21","China",2020-03-03,80261,47450,2947,1407745000,80185,47146,2945,1,1,1
"22","China",2020-03-02,80136,44854,2914,1407745000,79934,44630,2908,1,1,1
"23","China",2020-03-01,79932,42162,2872,1407745000,79657,41864,2870,1,1,1
"24","China",2020-02-29,79356,39320,2837,1407745000,79340,39018,2832,1,1,1
"25","China",2020-02-28,78928,36329,2790,1407745000,78982,36194,2792,1,1,1
"26","China",2020-02-27,78600,32930,2746,1407745000,78568,33359,2746,1,1,1
"27","China",2020-02-26,78166,30084,2717,1407745000,78152,30649,2685,1,1,1
"28","China",2020-02-25,77754,27676,2665,1407745000,77816,28274,2629,1,1,1
"29","China",2020-02-24,77241,25015,2595,1407745000,77333,25756,2550,1,1,1
"30","China",2020-02-23,77022,23187,2445,1407745000,76830,23626,2477,1,1,1
"31","China",2020-02-22,77001,22699,2443,1407745000,76323,21608,2391,1,1,1
"32","China",2020-02-21,75550,18704,2238,1407745000,75817,19684,2297,1,1,1
"33","China",2020-02-20,75077,18014,2238,1407745000,75131,17891,2192,1,1,1
"34","China",2020-02-19,74619,15962,2116,1407745000,74201,16115,2095,1,1,1
"35","China",2020-02-18,74211,14206,2003,1407745000,72974,14200,1984,1,1,1
"36","China",2020-02-17,72434,12462,1864,1407745000,71661,12668,1882,1,1,1
"37","China",2020-02-16,70513,10755,1766,1407745000,69492,10982,1757,1,1,1
"38","China",2020-02-15,68413,9298,1663,1407745000,65226,9428,1615,1,1,1
"39","China",2020-02-14,66358,7977,1521,1407745000,60965,8061,1487,1,1,1
"40","China",2020-02-13,59895,6217,1369,1407745000,56668,6840,1366,1,1,1
"41","Italy",2020-03-22,59138,7024,5476,59729081,NA,NA,NA,NA,NA,NA
"42","Italy",2020-03-23,59138,7024,5476,59729081,NA,NA,NA,NA,NA,NA
"43","Italy",2020-03-21,53578,6072,4825,59729081,NA,NA,NA,NA,NA,NA
"44","Italy",2020-03-20,47021,4440,4032,59729081,46733,5138,4099,8,1,1
"45","China",2020-02-12,44759,5082,1117,1407745000,52285,5764,1243,1,1,1
"46","China",2020-02-11,44386,4636,1112,1407745000,47771,4806,1120,1,1,1
"47","China",2020-02-10,42354,3918,1012,1407745000,43164,3952,1005,1,1,1
"48","Italy",2020-03-19,41035,4440,3405,59729081,42282,4527,3625,8,1,1
"49","China",2020-02-09,39829,3219,905,1407745000,38977,3275,900,1,1,1
"50","China",2020-02-08,36814,2596,805,1407745000,36503,2709,821,1,1,1
"51","Italy",2020-03-18,35713,4025,2978,59729081,37369,3857,3101,7,1,1
"52","China",2020-02-07,34110,1999,718,1407745000,33549,2167,732,1,1,1
"53","US",2020-03-23,33294,178,417,328329953,NA,NA,NA,NA,NA,NA
"54","US",2020-03-22,33281,0,417,328329953,NA,NA,NA,NA,NA,NA
"55","Italy",2020-03-17,31506,2941,2503,59729081,32737,3271,2618,6,1,1
"56","China",2020-02-06,30587,1477,633,1407745000,30315,1695,649,1,1,1
"57","Spain",2020-03-22,28768,2575,1772,47134837,NA,NA,NA,NA,NA,NA
"58","Spain",2020-03-23,28768,2575,1772,47134837,NA,NA,NA,NA,NA,NA
"59","Italy",2020-03-16,27980,2749,2158,59729081,28543,2842,2223,5,1,1
"60","China",2020-02-05,27440,1115,563,1407745000,27001,1301,571,1,1,1
"61","US",2020-03-21,25498,0,307,328329953,NA,NA,NA,NA,NA,NA
"62","Spain",2020-03-21,25374,2125,1375,47134837,NA,NA,NA,NA,NA,NA
"63","Germany",2020-03-22,24873,266,94,83092962,NA,NA,NA,NA,NA,NA
"64","Germany",2020-03-23,24873,266,94,83092962,NA,NA,NA,NA,NA,NA
"65","Italy",2020-03-15,24747,2335,1809,59729081,24461,2357,1855,5,1,1
"66","China",2020-02-04,23707,843,491,1407745000,23440,969,493,1,1,1
"67","Germany",2020-03-21,22213,233,84,83092962,NA,NA,NA,NA,NA,NA
"68","Iran",2020-03-22,21638,7931,1685,86564202,NA,NA,NA,NA,NA,NA
"69","Iran",2020-03-23,21638,7931,1685,86564202,NA,NA,NA,NA,NA,NA
"70","Italy",2020-03-14,21157,1966,1441,59729081,21139,1931,1547,4,1,1
"71","Iran",2020-03-21,20610,7635,1556,86564202,NA,NA,NA,NA,NA,NA
"72","Spain",2020-03-20,20410,1588,1043,47134837,20992,1726,1135,5,1,1
"73","Germany",2020-03-20,19848,180,67,83092962,18387,176,62,3,1,1
"74","China",2020-02-03,19716,614,425,1407745000,19968,714,421,1,1,1
"75","Iran",2020-03-20,19644,6745,1433,86564202,19352,6676,1395,3,1,1
"76","US",2020-03-20,19109,0,244,328329953,19869,28,259,1,1,1
"77","Iran",2020-03-19,18407,5710,1284,86564202,18403,6198,1276,3,1,1
"78","Spain",2020-03-19,17963,1107,830,47134837,18302,1433,931,4,1,1
"79","Italy",2020-03-13,17660,1439,1266,59729081,18088,1615,1280,4,1,1
"80","Iran",2020-03-18,17361,5389,1135,86564202,17303,5721,1139,2,1,1
"81","China",2020-02-02,16630,463,361,1407745000,16761,523,355,1,1,1
"82","France",2020-03-22,16176,2206,674,67388001,NA,NA,NA,NA,NA,NA
"83","Iran",2020-03-17,16169,5389,988,86564202,16177,5053,1004,2,1,1
"84","France",2020-03-23,16044,2200,674,67388001,NA,NA,NA,NA,NA,NA
"85","Germany",2020-03-19,15320,113,44,83092962,15873,147,51,2,1,1
"86","Iran",2020-03-16,14991,4590,853,86564202,14994,4512,873,2,1,1
"87","France",2020-03-21,14431,12,562,67388001,NA,NA,NA,NA,NA,NA
"88","Iran",2020-03-15,13938,4590,724,86564202,13804,4119,751,2,1,1
"89","Spain",2020-03-18,13910,1081,623,47134837,15306,1139,719,4,1,1
"90","US",2020-03-19,13686,0,200,328329953,15775,5,211,1,1,1
"91","Iran",2020-03-14,12729,2959,611,86564202,12609,3772,639,2,1,1
"92","France",2020-03-20,12726,12,450,67388001,12447,638,414,2,1,1
"93","Italy",2020-03-11,12462,1045,827,59729081,12920,1081,832,3,1,1
"94","Italy",2020-03-12,12462,1045,827,59729081,15401,1325,1038,3,1,1
"95","Germany",2020-03-18,12327,105,28,83092962,13147,116,39,2,1,1
"96","China",2020-02-01,11891,275,259,1407745000,13711,381,293,1,1,1
"97","Spain",2020-03-17,11748,1028,533,47134837,12595,910,551,3,1,1
"98","Iran",2020-03-13,11364,2959,514,86564202,11448,3392,539,2,1,1
"99","France",2020-03-19,10947,12,243,67388001,11107,325,339,2,1,1
"100","Italy",2020-03-10,10149,724,631,59729081,10738,884,659,2,1,1
"101","Iran",2020-03-12,10075,2959,429,86564202,10330,3079,451,2,1,1
"102","Spain",2020-03-16,9942,530,342,47134837,10426,710,421,3,1,1
"103","China",2020-01-31,9802,214,213,1407745000,11111,275,242,1,1,1
"104","Germany",2020-03-17,9257,67,24,83092962,10629,89,29,2,1,1
"105","Italy",2020-03-09,9172,724,463,59729081,8877,753,506,2,1,1
"106","France",2020-03-18,9105,12,148,67388001,9443,12,256,2,1,1
"107","Iran",2020-03-11,9000,2959,354,86564202,9277,2728,376,2,1,1
"108","Korea South",2020-03-22,8897,2909,104,51764822,NA,NA,NA,NA,NA,NA
"109","Korea South",2020-03-23,8897,2909,104,51764822,NA,NA,NA,NA,NA,NA
"110","Korea South",2020-03-21,8799,1540,102,51764822,NA,NA,NA,NA,NA,NA
"111","Korea South",2020-03-20,8652,1540,94,51764822,8649,1912,94,2,1,1
"112","Korea South",2020-03-19,8565,1540,91,51764822,8555,1659,90,2,1,1
"113","Korea South",2020-03-18,8413,1540,84,51764822,8450,1316,86,2,1,1
"114","Korea South",2020-03-17,8320,1407,81,51764822,8348,1169,82,2,1,1
"115","Korea South",2020-03-16,8236,1137,75,51764822,8252,1022,78,2,1,1
"116","Korea South",2020-03-15,8162,510,75,51764822,8152,850,74,2,1,1
"117","China",2020-01-30,8141,135,171,1407745000,8705,195,193,1,1,1
"118","Korea South",2020-03-14,8086,510,72,51764822,8058,671,71,2,1,1
