"","Country"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Antigua and Barbuda"
"7","Argentina"
"8","Armenia"
"9","Australia"
"10","Austria"
"11","Azerbaijan"
"12","Bahamas, The"
"13","Bahrain"
"14","Bangladesh"
"15","Barbados"
"16","Belarus"
"17","Belgium"
"18","Benin"
"19","Bhutan"
"20","Bolivia"
"21","Bosnia and Herzegovina"
"22","Brazil"
"23","Brunei"
"24","Bulgaria"
"25","Burkina Faso"
"26","Cabo Verde"
"27","Cambodia"
"28","Cameroon"
"29","Canada"
"30","Cape Verde"
"31","Central African Republic"
"32","Chad"
"33","Chile"
"34","China"
"35","Colombia"
"36","Congo (Brazzaville)"
"37","Congo (Kinshasa)"
"38","Costa Rica"
"39","Cote d'Ivoire"
"40","Croatia"
"41","Cruise Ship"
"42","Cuba"
"43","Cyprus"
"44","Czechia"
"45","Denmark"
"46","Djibouti"
"47","Dominica"
"48","Dominican Republic"
"49","East Timor"
"50","Ecuador"
"51","Egypt"
"52","El Salvador"
"53","Equatorial Guinea"
"54","Eritrea"
"55","Estonia"
"56","Eswatini"
"57","Ethiopia"
"58","Fiji"
"59","Finland"
"60","France"
"61","French Guiana"
"62","Gabon"
"63","Gambia, The"
"64","Georgia"
"65","Germany"
"66","Ghana"
"67","Greece"
"68","Greenland"
"69","Grenada"
"70","Guadeloupe"
"71","Guam"
"72","Guatemala"
"73","Guernsey"
"74","Guinea"
"75","Guyana"
"76","Haiti"
"77","Holy See"
"78","Honduras"
"79","Hungary"
"80","Iceland"
"81","India"
"82","Indonesia"
"83","Iran"
"84","Iraq"
"85","Ireland"
"86","Israel"
"87","Italy"
"88","Jamaica"
"89","Japan"
"90","Jersey"
"91","Jordan"
"92","Kazakhstan"
"93","Kenya"
"94","Korea, South"
"95","Kosovo"
"96","Kuwait"
"97","Kyrgyzstan"
"98","Latvia"
"99","Lebanon"
"100","Liberia"
"101","Liechtenstein"
"102","Lithuania"
"103","Luxembourg"
"104","Madagascar"
"105","Malaysia"
"106","Maldives"
"107","Malta"
"108","Martinique"
"109","Mauritania"
"110","Mauritius"
"111","Mayotte"
"112","Mexico"
"113","Moldova"
"114","Monaco"
"115","Mongolia"
"116","Montenegro"
"117","Morocco"
"118","Mozambique"
"119","Namibia"
"120","Nepal"
"121","Netherlands"
"122","New Zealand"
"123","Nicaragua"
"124","Niger"
"125","Nigeria"
"126","North Macedonia"
"127","Norway"
"128","Oman"
"129","Pakistan"
"130","Panama"
"131","Papua New Guinea"
"132","Paraguay"
"133","Peru"
"134","Philippines"
"135","Poland"
"136","Portugal"
"137","Puerto Rico"
"138","Qatar"
"139","Republic of the Congo"
"140","Reunion"
"141","Romania"
"142","Russia"
"143","Rwanda"
"144","Saint Lucia"
"145","Saint Vincent and the Grenadines"
"146","San Marino"
"147","Saudi Arabia"
"148","Senegal"
"149","Serbia"
"150","Seychelles"
"151","Singapore"
"152","Slovakia"
"153","Slovenia"
"154","Somalia"
"155","South Africa"
"156","Spain"
"157","Sri Lanka"
"158","Sudan"
"159","Suriname"
"160","Sweden"
"161","Switzerland"
"162","Syria"
"163","Taiwan*"
"164","Tanzania"
"165","Thailand"
"166","The Bahamas"
"167","The Gambia"
"168","Timor-Leste"
"169","Togo"
"170","Trinidad and Tobago"
"171","Tunisia"
"172","Turkey"
"173","US"
"174","Uganda"
"175","Ukraine"
"176","United Arab Emirates"
"177","United Kingdom"
"178","Uruguay"
"179","Uzbekistan"
"180","Venezuela"
"181","Vietnam"
"182","Zambia"
"183","Zimbabwe"
