"","country","year","population","capital"
"1","Afghanistan",2019,37769499,"Kabul"
"2","Albania",2019,2854191,"Tirane"
"3","Algeria",2019,42705368,"Algiers"
"4","American Samoa",2019,47321,"Pago Pago"
"5","Andorra",2019,76343,"Andorra la Vella"
"6","Angola",2019,32353588,"Luanda"
"7","Antigua and Barbuda",2019,92117,"Saint John's"
"8","Argentina",2019,44938712,"Buenos Aires"
"9","Armenia",2019,2820602,"Yerevan"
"10","Aruba",2019,106442,"Oranjestad"
"11","Australia",2019,25334826,"Canberra"
"12","Austria",2019,8879920,"Vienna"
"13","Azerbaijan",2019,10024283,"Baku"
"14","Bahrain",2019,1494188,"Manama"
"15","Bangladesh",2019,165516222,"Dhaka"
"16","Barbados",2019,280180,"Bridgetown"
"17","Belarus",2019,9419758,"Minsk"
"18","Belgium",2019,11488980,"Brussels"
"19","Belize",2019,389095,"Belmopan"
"20","Benin",2019,12290444,"Porto-Novo"
"21","Bermuda",2019,63911,"Hamilton"
"22","Bhutan",2019,767459,"Thimphu"
"23","Bolivia",2019,11777315,"La Paz"
"24","Bosnia and Herzegovina",2019,3360711,"Sarajevo"
"25","Botswana",2019,2499702,"Gaborone"
"26","Brazil",2019,211782878,"Brasilia"
"27","British Virgin Islands",2019,30610,"Road Town"
"28","Bulgaria",2019,6975761,"Sofia"
"29","Burkina Faso",2019,20951639,"Ouagadougou"
"30","Burundi",2019,11874838,"Bujumbura"
"31","Cabo Verde",2019,577030,"Praia"
"32","Cambodia",2019,16207746,"Phnom Penh"
"33","Cameroon",2019,25782341,"Yaounde"
"34","Canada",2019,37618495,"Ottawa"
"35","Cayman Islands",2019,66134,"George Town"
"36","Central African Republic",2019,5209324,"Bangui"
"37","Chad",2019,16126866,"N'Djamena"
"38","Chile",2019,19039485,"Santiago"
"39","China",2019,1407745000,"Beijing"
"40","Colombia",2019,50187406,"Bogota"
"41","Comoros",2019,790986,"Moroni"
"42","Costa Rica",2019,5084532,"San Jose"
"43","Cote d'Ivoire",2019,26147551,"Yamoussoukro"
"44","Croatia",2019,4065253,"Zagreb"
