"","Country"
"1","Bahamas, The"
"2","Brunei"
"3","Cape Verde"
"4","Congo (Brazzaville)"
"5","Congo (Kinshasa)"
"6","Cruise Ship"
"7","Czechia"
"8","East Timor"
"9","Egypt"
"10","French Guiana"
"11","Gambia, The"
"12","Guadeloupe"
"13","Guernsey"
"14","Holy See"
"15","Iran"
"16","Israel"
"17","Jersey"
"18","Korea, South"
"19","Kyrgyzstan"
"20","Martinique"
"21","Mayotte"
"22","Republic of the Congo"
"23","Reunion"
"24","Russia"
"25","Saint Lucia"
"26","Saint Vincent and the Grenadines"
"27","Slovakia"
"28","Syria"
"29","Taiwan*"
"30","The Bahamas"
"31","The Gambia"
"32","Turkey"
"33","US"
"34","Venezuela"
"35","Vietnam"
